CPU,RAM (GB),HDD (GB),Velikost displeje ("),Rozliseni displeje,Cena (Kc)
Intel I5-7500U:0.88,16:0.75,320 SSD:0.87,12:0.28,1280x800:0.00,29375
Intel I5-6500U:0.52,32:1.00,512 SSD:1.00,14:0.71,3840x2160:1.00,46227
Intel I5-6200U:0.47,24:0.87,512 SSD:1.00,15.6:0.85,3840x2160:1.00,47642
Intel I3-7200U:0.76,32:1.00,128 SSD:0.50,10:0.00,1280x800:0.00,26642
Intel I7-6200U:0.58,3:0.12,500 HDD:0.12,10:0.00,1366x768:0.14,27544
Intel I5-5200U:0.11,6:0.37,256 SSD:0.75,10:0.00,1920x1080:0.57,31215
Intel I7-7200U:0.94,32:1.00,128 SSD:0.50,17.3:1.00,2560x1440:0.71,40845
Intel I3-6200U:0.41,6:0.37,128 SSD:0.50,17.3:1.00,2560x1440:0.71,30392
Intel I5-7500U:0.88,2:0.00,1 000 HDD:0.37,14:0.71,1280x800:0.00,26025
Intel I7-6200U:0.58,12:0.62,512 SSD:1.00,14:0.71,2560x1440:0.71,40663
Intel I5-5200U:0.11,8:0.50,750 HDD:0.25,14:0.71,2880x1800:0.85,32388
Intel I5-5200U:0.11,3:0.12,500 HDD:0.12,13:0.42,1280x800:0.00,22927
Intel I7-5500U:0.29,4:0.25,256 SSD:0.75,17.3:1.00,2880x1800:0.85,38142
Intel I3-7200U:0.76,6:0.37,512 SSD:1.00,14:0.71,1600x900:0.28,37421
Intel I7-5200U:0.23,6:0.37,512 SSD:1.00,11:0.14,2560x1440:0.71,40570
Intel I3-5100U:0.00,24:0.87,256 SSD:0.75,15.6:0.85,1680x1050:0.42,34921
Intel I3-7100U:0.70,24:0.87,512 SSD:1.00,14:0.71,1366x768:0.14,36998
Intel I3-6100U:0.35,32:1.00,1 000 HDD:0.37,14:0.71,1920x1080:0.57,30220
Intel I5-5200U:0.11,2:0.00,1 000 HDD:0.37,10:0.00,1680x1050:0.42,26117
Intel I5-7200U:0.82,3:0.12,320 HDD:0.00,11:0.14,2880x1800:0.85,30688
Intel I5-5500U:0.17,6:0.37,750 HDD:0.25,17.3:1.00,3840x2160:1.00,38338
Intel I7-5500U:0.29,12:0.62,240 SSD:0.62,10:0.00,1600x900:0.28,29791
Intel I7-5200U:0.23,4:0.25,256 SSD:0.75,10:0.00,1600x900:0.28,30610
Intel I7-7500U:1.00,4:0.25,240 SSD:0.62,10:0.00,1280x800:0.00,27926
Intel I3-6100U:0.35,24:0.87,500 HDD:0.12,11:0.14,1680x1050:0.42,26350
Intel I3-5100U:0.00,4:0.25,128 SSD:0.50,13.3:0.57,1280x800:0.00,21324
Intel I7-7200U:0.94,8:0.50,128 SSD:0.50,12:0.28,1280x800:0.00,25214
Intel I7-7200U:0.94,2:0.00,512 SSD:1.00,15.6:0.85,1280x800:0.00,39245
Intel I3-6200U:0.41,16:0.75,128 SSD:0.50,14:0.71,2880x1800:0.85,31292
Intel I5-6200U:0.47,4:0.25,1 000 HDD:0.37,13.3:0.57,1920x1080:0.57,29943
Intel I7-6200U:0.58,6:0.37,500 HDD:0.12,15.6:0.85,1920x1080:0.57,29728
Intel I3-7100U:0.70,2:0.00,750 HDD:0.25,13.3:0.57,3840x2160:1.00,30304
Intel I5-7200U:0.82,16:0.75,320 SSD:0.87,10:0.00,1920x1080:0.57,32534
Intel I3-7200U:0.76,12:0.62,320 HDD:0.00,15.6:0.85,1920x1080:0.57,29920
Intel I5-5500U:0.17,6:0.37,320 SSD:0.87,17.3:1.00,1600x900:0.28,33150
Intel I5-7500U:0.88,2:0.00,128 SSD:0.50,13:0.42,1920x1080:0.57,28801
Intel I5-7200U:0.82,32:1.00,512 SSD:1.00,11:0.14,3840x2160:1.00,46370
Intel I3-7100U:0.70,16:0.75,1 000 HDD:0.37,10:0.00,1680x1050:0.42,27044
Intel I5-7200U:0.82,6:0.37,256 SSD:0.75,15.6:0.85,1280x800:0.00,31676
Intel I7-6200U:0.58,8:0.50,128 SSD:0.50,10:0.00,2560x1440:0.71,30707
Intel I7-7500U:1.00,6:0.37,240 SSD:0.62,14:0.71,2880x1800:0.85,37498
Intel I5-5200U:0.11,6:0.37,320 SSD:0.87,10:0.00,1600x900:0.28,29651
Intel I5-7200U:0.82,12:0.62,240 SSD:0.62,14:0.71,1600x900:0.28,32236
Intel I3-5100U:0.00,32:1.00,512 SSD:1.00,15.6:0.85,1280x800:0.00,39526
Intel I7-7200U:0.94,12:0.62,500 HDD:0.12,13.3:0.57,1680x1050:0.42,30290
Intel I5-7200U:0.82,2:0.00,320 HDD:0.00,12:0.28,1680x1050:0.42,25036
Intel I3-6200U:0.41,8:0.50,750 HDD:0.25,13:0.42,1280x800:0.00,25273
Intel I5-5200U:0.11,16:0.75,240 SSD:0.62,10:0.00,1366x768:0.14,27836
Intel I7-6200U:0.58,3:0.12,512 SSD:1.00,12:0.28,1366x768:0.14,33538
Intel I3-6100U:0.35,6:0.37,320 SSD:0.87,14:0.71,1680x1050:0.42,28835
Intel I5-5500U:0.17,8:0.50,512 SSD:1.00,13:0.42,1600x900:0.28,32724
Intel I3-5100U:0.00,2:0.00,240 SSD:0.62,11:0.14,1680x1050:0.42,26520
Intel I5-5200U:0.11,4:0.25,128 SSD:0.50,14:0.71,1920x1080:0.57,30644
Intel I3-6200U:0.41,24:0.87,320 HDD:0.00,13.3:0.57,1600x900:0.28,29980
Intel I7-6500U:0.64,2:0.00,320 SSD:0.87,10:0.00,3840x2160:1.00,40851
Intel I3-6200U:0.41,24:0.87,750 HDD:0.25,13:0.42,1600x900:0.28,26939
Intel I7-5500U:0.29,24:0.87,750 HDD:0.25,13:0.42,1366x768:0.14,32054
Intel I5-6200U:0.47,2:0.00,320 SSD:0.87,11:0.14,1920x1080:0.57,30319
Intel I7-7500U:1.00,8:0.50,320 HDD:0.00,11:0.14,1280x800:0.00,29178
Intel I3-5200U:0.05,4:0.25,1 000 HDD:0.37,10:0.00,1366x768:0.14,25560
Intel I3-7100U:0.70,12:0.62,256 SSD:0.75,13.3:0.57,1280x800:0.00,29034
Intel I3-5100U:0.00,8:0.50,750 HDD:0.25,13.3:0.57,1680x1050:0.42,24557
Intel I5-7200U:0.82,6:0.37,320 SSD:0.87,13.3:0.57,1920x1080:0.57,31410
Intel I3-7100U:0.70,3:0.12,512 SSD:1.00,10:0.00,1366x768:0.14,31721
Intel I3-6100U:0.35,24:0.87,512 SSD:1.00,13:0.42,1600x900:0.28,37656
Intel I5-6500U:0.52,24:0.87,500 HDD:0.12,14:0.71,1366x768:0.14,32118
Intel I5-5200U:0.11,2:0.00,128 SSD:0.50,12:0.28,2560x1440:0.71,26485
Intel I3-7100U:0.70,12:0.62,750 HDD:0.25,10:0.00,1920x1080:0.57,27211
Intel I7-5500U:0.29,32:1.00,256 SSD:0.75,12:0.28,3840x2160:1.00,38902
Intel I3-5200U:0.05,24:0.87,512 SSD:1.00,11:0.14,1680x1050:0.42,34459
Intel I7-5500U:0.29,32:1.00,256 SSD:0.75,11:0.14,2560x1440:0.71,34297
Intel I3-7200U:0.76,6:0.37,320 SSD:0.87,13.3:0.57,1280x800:0.00,27929
Intel I7-7500U:1.00,2:0.00,128 SSD:0.50,10:0.00,2880x1800:0.85,33338
Intel I7-5200U:0.23,6:0.37,512 SSD:1.00,17.3:1.00,1280x800:0.00,41237
Intel I5-6500U:0.52,12:0.62,256 SSD:0.75,11:0.14,3840x2160:1.00,35051
Intel I3-6200U:0.41,16:0.75,750 HDD:0.25,14:0.71,3840x2160:1.00,36602
Intel I7-6500U:0.64,12:0.62,320 SSD:0.87,12:0.28,3840x2160:1.00,39379
Intel I7-5200U:0.23,4:0.25,750 HDD:0.25,13:0.42,1280x800:0.00,26961
Intel I7-7200U:0.94,12:0.62,1 000 HDD:0.37,13.3:0.57,1680x1050:0.42,31464
Intel I3-5200U:0.05,8:0.50,128 SSD:0.50,13:0.42,3840x2160:1.00,30367
Intel I5-6500U:0.52,32:1.00,1 000 HDD:0.37,10:0.00,2880x1800:0.85,34378
Intel I5-7200U:0.82,4:0.25,256 SSD:0.75,14:0.71,1680x1050:0.42,31380
Intel I5-7500U:0.88,4:0.25,750 HDD:0.25,15.6:0.85,1920x1080:0.57,33067
Intel I5-6200U:0.47,24:0.87,320 HDD:0.00,10:0.00,1920x1080:0.57,31916
Intel I5-6500U:0.52,4:0.25,320 SSD:0.87,17.3:1.00,1680x1050:0.42,33544
Intel I7-7500U:1.00,16:0.75,256 SSD:0.75,12:0.28,1280x800:0.00,33174
Intel I7-5200U:0.23,3:0.12,512 SSD:1.00,13.3:0.57,2880x1800:0.85,39239
Intel I5-5200U:0.11,2:0.00,320 HDD:0.00,17.3:1.00,3840x2160:1.00,35455
Intel I5-7500U:0.88,16:0.75,256 SSD:0.75,10:0.00,1280x800:0.00,27681
Intel I5-6200U:0.47,16:0.75,128 SSD:0.50,12:0.28,1366x768:0.14,27140
Intel I7-5200U:0.23,32:1.00,256 SSD:0.75,13:0.42,1280x800:0.00,31341
Intel I7-7500U:1.00,8:0.50,256 SSD:0.75,11:0.14,1680x1050:0.42,30811
Intel I3-5200U:0.05,16:0.75,320 HDD:0.00,17.3:1.00,1920x1080:0.57,30392
Intel I3-5100U:0.00,16:0.75,500 HDD:0.12,11:0.14,1600x900:0.28,24489
Intel I5-6200U:0.47,3:0.12,500 HDD:0.12,13.3:0.57,1600x900:0.28,25585
Intel I3-7100U:0.70,3:0.12,256 SSD:0.75,14:0.71,1920x1080:0.57,28133
Intel I5-5500U:0.17,24:0.87,320 SSD:0.87,11:0.14,1600x900:0.28,34259
Intel I7-5500U:0.29,8:0.50,512 SSD:1.00,12:0.28,1366x768:0.14,38424
Intel I7-7200U:0.94,3:0.12,128 SSD:0.50,13:0.42,2880x1800:0.85,32984
Intel I7-5200U:0.23,3:0.12,240 SSD:0.62,15.6:0.85,2560x1440:0.71,32114
Intel I3-7100U:0.70,16:0.75,500 HDD:0.12,13.3:0.57,1680x1050:0.42,28034
Intel I7-5200U:0.23,32:1.00,240 SSD:0.62,17.3:1.00,3840x2160:1.00,42329
Intel I7-6500U:0.64,4:0.25,500 HDD:0.12,13.3:0.57,2880x1800:0.85,30968
Intel I3-5100U:0.00,3:0.12,750 HDD:0.25,11:0.14,3840x2160:1.00,31714
Intel I3-6200U:0.41,6:0.37,256 SSD:0.75,13.3:0.57,2880x1800:0.85,34807
Intel I3-7100U:0.70,32:1.00,240 SSD:0.62,14:0.71,1280x800:0.00,30077
Intel I3-5100U:0.00,32:1.00,320 SSD:0.87,11:0.14,1600x900:0.28,29635
Intel I3-7100U:0.70,4:0.25,750 HDD:0.25,14:0.71,2880x1800:0.85,32160
Intel I3-7200U:0.76,4:0.25,256 SSD:0.75,13:0.42,2560x1440:0.71,31254
Intel I3-7100U:0.70,2:0.00,320 SSD:0.87,14:0.71,1366x768:0.14,29615
Intel I3-6100U:0.35,12:0.62,750 HDD:0.25,10:0.00,1680x1050:0.42,24678
Intel I3-5200U:0.05,32:1.00,512 SSD:1.00,13.3:0.57,2880x1800:0.85,43846
Intel I5-6200U:0.47,8:0.50,512 SSD:1.00,10:0.00,2560x1440:0.71,34819
Intel I3-6100U:0.35,2:0.00,1 000 HDD:0.37,10:0.00,1600x900:0.28,23657
Intel I7-7200U:0.94,24:0.87,256 SSD:0.75,13.3:0.57,1920x1080:0.57,38908
Intel I3-6200U:0.41,3:0.12,240 SSD:0.62,17.3:1.00,1280x800:0.00,30448
Intel I7-7200U:0.94,4:0.25,500 HDD:0.12,10:0.00,1680x1050:0.42,26927
Intel I7-6200U:0.58,12:0.62,240 SSD:0.62,12:0.28,1680x1050:0.42,30394
Intel I7-6500U:0.64,3:0.12,1 000 HDD:0.37,14:0.71,1366x768:0.14,29974
Intel I3-7100U:0.70,16:0.75,256 SSD:0.75,13:0.42,1280x800:0.00,28461
Intel I7-7200U:0.94,32:1.00,750 HDD:0.25,15.6:0.85,1600x900:0.28,32495
Intel I7-5500U:0.29,8:0.50,1 000 HDD:0.37,11:0.14,2560x1440:0.71,30177
Intel I7-7200U:0.94,3:0.12,240 SSD:0.62,10:0.00,1280x800:0.00,29361
Intel I7-5500U:0.29,4:0.25,500 HDD:0.12,11:0.14,2880x1800:0.85,32485
Intel I3-7200U:0.76,2:0.00,320 SSD:0.87,13.3:0.57,1280x800:0.00,27365
Intel I5-6500U:0.52,8:0.50,256 SSD:0.75,15.6:0.85,1280x800:0.00,32303
Intel I3-5200U:0.05,3:0.12,128 SSD:0.50,17.3:1.00,2880x1800:0.85,33542
Intel I7-5200U:0.23,4:0.25,500 HDD:0.12,10:0.00,1680x1050:0.42,25562
Intel I5-6500U:0.52,2:0.00,1 000 HDD:0.37,13:0.42,2560x1440:0.71,28501
Intel I7-7500U:1.00,32:1.00,500 HDD:0.12,15.6:0.85,2560x1440:0.71,36653
Intel I7-5200U:0.23,16:0.75,750 HDD:0.25,11:0.14,2560x1440:0.71,32825
Intel I5-6200U:0.47,16:0.75,500 HDD:0.12,11:0.14,1280x800:0.00,26288
Intel I3-7200U:0.76,4:0.25,320 SSD:0.87,17.3:1.00,3840x2160:1.00,41850
Intel I5-7500U:0.88,32:1.00,320 HDD:0.00,13.3:0.57,1280x800:0.00,29770
Intel I7-6200U:0.58,12:0.62,1 000 HDD:0.37,14:0.71,1366x768:0.14,28764
Intel I3-5200U:0.05,4:0.25,240 SSD:0.62,13.3:0.57,1920x1080:0.57,26770
Intel I5-5200U:0.11,32:1.00,240 SSD:0.62,12:0.28,1280x800:0.00,31526
Intel I7-7200U:0.94,6:0.37,256 SSD:0.75,14:0.71,1920x1080:0.57,35562
Intel I7-5500U:0.29,6:0.37,750 HDD:0.25,14:0.71,1366x768:0.14,29928
Intel I7-7200U:0.94,3:0.12,128 SSD:0.50,13:0.42,2560x1440:0.71,31944
Intel I7-7200U:0.94,3:0.12,240 SSD:0.62,13:0.42,1920x1080:0.57,32456
Intel I7-6500U:0.64,16:0.75,750 HDD:0.25,13:0.42,1680x1050:0.42,31314
Intel I3-5100U:0.00,16:0.75,128 SSD:0.50,13:0.42,2880x1800:0.85,29825
Intel I5-6500U:0.52,6:0.37,750 HDD:0.25,13:0.42,1600x900:0.28,25794
Intel I3-5100U:0.00,8:0.50,320 HDD:0.00,13:0.42,2560x1440:0.71,27265
Intel I5-7200U:0.82,32:1.00,750 HDD:0.25,14:0.71,1920x1080:0.57,32274
Intel I7-7200U:0.94,4:0.25,750 HDD:0.25,12:0.28,3840x2160:1.00,36220
Intel I5-6200U:0.47,32:1.00,1 000 HDD:0.37,13:0.42,1600x900:0.28,29909
Intel I3-5100U:0.00,3:0.12,128 SSD:0.50,15.6:0.85,1600x900:0.28,26343
Intel I7-7500U:1.00,3:0.12,1 000 HDD:0.37,11:0.14,1280x800:0.00,27937
Intel I5-6500U:0.52,2:0.00,128 SSD:0.50,15.6:0.85,1680x1050:0.42,28068
Intel I3-6100U:0.35,12:0.62,240 SSD:0.62,15.6:0.85,2560x1440:0.71,31222
Intel I3-6100U:0.35,4:0.25,1 000 HDD:0.37,15.6:0.85,1920x1080:0.57,28612
Intel I7-6500U:0.64,6:0.37,240 SSD:0.62,10:0.00,1280x800:0.00,28529
Intel I3-6100U:0.35,3:0.12,512 SSD:1.00,14:0.71,1366x768:0.14,34207
Intel I7-6200U:0.58,32:1.00,320 HDD:0.00,11:0.14,3840x2160:1.00,39064
Intel I3-5100U:0.00,16:0.75,256 SSD:0.75,12:0.28,3840x2160:1.00,33010
Intel I7-6200U:0.58,2:0.00,500 HDD:0.12,13.3:0.57,1920x1080:0.57,29027
Intel I7-5500U:0.29,3:0.12,128 SSD:0.50,10:0.00,1366x768:0.14,28787
Intel I3-6100U:0.35,2:0.00,256 SSD:0.75,14:0.71,2560x1440:0.71,29660
Intel I7-5500U:0.29,2:0.00,240 SSD:0.62,13.3:0.57,1280x800:0.00,26661
Intel I3-7200U:0.76,4:0.25,750 HDD:0.25,14:0.71,3840x2160:1.00,34382
Intel I3-6100U:0.35,12:0.62,256 SSD:0.75,14:0.71,1680x1050:0.42,31336
Intel I5-7500U:0.88,6:0.37,256 SSD:0.75,13:0.42,3840x2160:1.00,36861
Intel I3-7200U:0.76,2:0.00,1 000 HDD:0.37,13.3:0.57,1920x1080:0.57,25546
Intel I7-5500U:0.29,16:0.75,320 SSD:0.87,17.3:1.00,1600x900:0.28,41057
Intel I3-6100U:0.35,4:0.25,1 000 HDD:0.37,12:0.28,1600x900:0.28,24203
Intel I5-7200U:0.82,16:0.75,240 SSD:0.62,13:0.42,1920x1080:0.57,30539
Intel I7-7200U:0.94,8:0.50,1 000 HDD:0.37,12:0.28,1600x900:0.28,26873
Intel I3-7200U:0.76,32:1.00,1 000 HDD:0.37,13.3:0.57,1600x900:0.28,31099
Intel I5-7200U:0.82,8:0.50,750 HDD:0.25,10:0.00,3840x2160:1.00,34040
Intel I3-7100U:0.70,3:0.12,1 000 HDD:0.37,10:0.00,1600x900:0.28,25129
Intel I3-7100U:0.70,4:0.25,320 HDD:0.00,12:0.28,1366x768:0.14,22563
Intel I5-6200U:0.47,24:0.87,1 000 HDD:0.37,11:0.14,1366x768:0.14,27109
Intel I3-7100U:0.70,8:0.50,1 000 HDD:0.37,13:0.42,2560x1440:0.71,29980
Intel I3-5200U:0.05,8:0.50,1 000 HDD:0.37,13.3:0.57,1680x1050:0.42,26195
Intel I5-5200U:0.11,24:0.87,256 SSD:0.75,15.6:0.85,2880x1800:0.85,41093
Intel I3-5100U:0.00,16:0.75,240 SSD:0.62,11:0.14,2880x1800:0.85,33365
Intel I3-7100U:0.70,3:0.12,240 SSD:0.62,13:0.42,1600x900:0.28,25947
Intel I7-6500U:0.64,6:0.37,500 HDD:0.12,10:0.00,1920x1080:0.57,27927
Intel I3-6100U:0.35,2:0.00,128 SSD:0.50,17.3:1.00,2560x1440:0.71,29796
Intel I7-5500U:0.29,4:0.25,320 SSD:0.87,12:0.28,1600x900:0.28,30851
Intel I3-6100U:0.35,8:0.50,1 000 HDD:0.37,17.3:1.00,1680x1050:0.42,28268
Intel I3-6100U:0.35,6:0.37,256 SSD:0.75,13:0.42,2560x1440:0.71,28155
Intel I3-6100U:0.35,3:0.12,320 HDD:0.00,11:0.14,1280x800:0.00,22511
Intel I7-5500U:0.29,32:1.00,256 SSD:0.75,13.3:0.57,3840x2160:1.00,39015
Intel I3-6200U:0.41,2:0.00,256 SSD:0.75,10:0.00,3840x2160:1.00,33026
Intel I3-7100U:0.70,24:0.87,1 000 HDD:0.37,11:0.14,1280x800:0.00,24811
Intel I5-7200U:0.82,4:0.25,128 SSD:0.50,13.3:0.57,1600x900:0.28,26016
Intel I3-6100U:0.35,2:0.00,320 HDD:0.00,13.3:0.57,2560x1440:0.71,25749
Intel I3-7200U:0.76,3:0.12,750 HDD:0.25,15.6:0.85,2880x1800:0.85,30403
Intel I7-5500U:0.29,24:0.87,320 SSD:0.87,10:0.00,2880x1800:0.85,38087
Intel I7-7500U:1.00,12:0.62,128 SSD:0.50,13.3:0.57,2560x1440:0.71,32726
Intel I3-7100U:0.70,16:0.75,1 000 HDD:0.37,12:0.28,1680x1050:0.42,28054
Intel I7-7200U:0.94,6:0.37,128 SSD:0.50,13:0.42,1280x800:0.00,27102
Intel I5-5200U:0.11,6:0.37,512 SSD:1.00,14:0.71,1680x1050:0.42,37554
Intel I3-5100U:0.00,8:0.50,128 SSD:0.50,13.3:0.57,1366x768:0.14,25890
Intel I7-7200U:0.94,8:0.50,750 HDD:0.25,15.6:0.85,1680x1050:0.42,32757
Intel I7-5200U:0.23,32:1.00,500 HDD:0.12,10:0.00,1920x1080:0.57,32484
Intel I3-5200U:0.05,6:0.37,320 HDD:0.00,11:0.14,1366x768:0.14,23789
Intel I3-7200U:0.76,4:0.25,320 HDD:0.00,12:0.28,1680x1050:0.42,25050
Intel I3-5100U:0.00,6:0.37,240 SSD:0.62,10:0.00,2560x1440:0.71,29090
Intel I7-6200U:0.58,32:1.00,750 HDD:0.25,14:0.71,1920x1080:0.57,33968
Intel I5-7500U:0.88,8:0.50,256 SSD:0.75,10:0.00,1280x800:0.00,27772
Intel I7-6500U:0.64,32:1.00,240 SSD:0.62,15.6:0.85,1366x768:0.14,38782
Intel I5-5200U:0.11,24:0.87,256 SSD:0.75,13.3:0.57,1920x1080:0.57,33550
Intel I7-6500U:0.64,4:0.25,128 SSD:0.50,17.3:1.00,3840x2160:1.00,39751
Intel I3-7100U:0.70,8:0.50,1 000 HDD:0.37,14:0.71,1366x768:0.14,26386
Intel I7-6500U:0.64,3:0.12,240 SSD:0.62,13:0.42,1920x1080:0.57,31966
Intel I7-7500U:1.00,2:0.00,1 000 HDD:0.37,11:0.14,1920x1080:0.57,31510
Intel I5-7500U:0.88,3:0.12,128 SSD:0.50,17.3:1.00,1600x900:0.28,31026
Intel I7-6500U:0.64,8:0.50,128 SSD:0.50,11:0.14,1600x900:0.28,28229
Intel I5-6500U:0.52,4:0.25,1 000 HDD:0.37,15.6:0.85,2880x1800:0.85,35511
Intel I5-7200U:0.82,3:0.12,512 SSD:1.00,11:0.14,1280x800:0.00,34111
Intel I5-5500U:0.17,16:0.75,128 SSD:0.50,14:0.71,1920x1080:0.57,32682
Intel I7-6500U:0.64,8:0.50,128 SSD:0.50,13.3:0.57,2560x1440:0.71,31905
Intel I5-6500U:0.52,32:1.00,320 HDD:0.00,14:0.71,2880x1800:0.85,38363
Intel I7-6200U:0.58,4:0.25,500 HDD:0.12,10:0.00,2560x1440:0.71,28318
Intel I7-6200U:0.58,32:1.00,256 SSD:0.75,14:0.71,3840x2160:1.00,42375
Intel I5-7200U:0.82,4:0.25,512 SSD:1.00,14:0.71,3840x2160:1.00,44022
Intel I7-6200U:0.58,3:0.12,320 SSD:0.87,11:0.14,1680x1050:0.42,33126
Intel I3-5200U:0.05,8:0.50,750 HDD:0.25,14:0.71,2560x1440:0.71,28221
Intel I7-7500U:1.00,24:0.87,256 SSD:0.75,12:0.28,1366x768:0.14,33970
Intel I7-5500U:0.29,6:0.37,320 SSD:0.87,11:0.14,1680x1050:0.42,32912
Intel I7-6500U:0.64,24:0.87,256 SSD:0.75,10:0.00,1600x900:0.28,33686
Intel I7-6500U:0.64,8:0.50,128 SSD:0.50,11:0.14,3840x2160:1.00,36033
Intel I5-5500U:0.17,24:0.87,500 HDD:0.12,15.6:0.85,2880x1800:0.85,38224
Intel I5-6500U:0.52,8:0.50,1 000 HDD:0.37,13:0.42,1680x1050:0.42,26746
Intel I7-5500U:0.29,12:0.62,128 SSD:0.50,10:0.00,1680x1050:0.42,30947
Intel I7-7200U:0.94,24:0.87,750 HDD:0.25,12:0.28,2880x1800:0.85,37638
Intel I7-7200U:0.94,32:1.00,320 SSD:0.87,14:0.71,1280x800:0.00,38791
Intel I5-7500U:0.88,4:0.25,500 HDD:0.12,14:0.71,1920x1080:0.57,27892
Intel I7-6200U:0.58,8:0.50,500 HDD:0.12,11:0.14,2560x1440:0.71,31649
Intel I5-7500U:0.88,4:0.25,256 SSD:0.75,17.3:1.00,1920x1080:0.57,33608
Intel I5-7200U:0.82,6:0.37,320 HDD:0.00,15.6:0.85,3840x2160:1.00,33480
Intel I3-7100U:0.70,8:0.50,128 SSD:0.50,13.3:0.57,1366x768:0.14,26121
Intel I3-7200U:0.76,2:0.00,750 HDD:0.25,10:0.00,1280x800:0.00,23874
Intel I3-7100U:0.70,12:0.62,512 SSD:1.00,12:0.28,3840x2160:1.00,44011
Intel I3-6100U:0.35,6:0.37,500 HDD:0.12,14:0.71,1680x1050:0.42,25790
Intel I7-5200U:0.23,24:0.87,512 SSD:1.00,15.6:0.85,2560x1440:0.71,41955
Intel I3-6200U:0.41,16:0.75,320 SSD:0.87,10:0.00,1680x1050:0.42,31998
Intel I7-6200U:0.58,3:0.12,320 HDD:0.00,11:0.14,1366x768:0.14,25055
Intel I3-6200U:0.41,16:0.75,320 SSD:0.87,13:0.42,1680x1050:0.42,31667
Intel I5-5500U:0.17,24:0.87,256 SSD:0.75,17.3:1.00,3840x2160:1.00,43588
Intel I3-7200U:0.76,4:0.25,240 SSD:0.62,13.3:0.57,1680x1050:0.42,26793
Intel I3-6100U:0.35,4:0.25,256 SSD:0.75,10:0.00,3840x2160:1.00,34142
Intel I5-5200U:0.11,3:0.12,256 SSD:0.75,13:0.42,3840x2160:1.00,36270
Intel I7-5200U:0.23,32:1.00,256 SSD:0.75,10:0.00,1920x1080:0.57,32992
Intel I3-7200U:0.76,12:0.62,1 000 HDD:0.37,15.6:0.85,2880x1800:0.85,32898
Intel I5-7500U:0.88,2:0.00,1 000 HDD:0.37,10:0.00,1600x900:0.28,27616
Intel I7-6200U:0.58,32:1.00,320 SSD:0.87,13:0.42,1600x900:0.28,35895
Intel I3-7100U:0.70,6:0.37,320 SSD:0.87,15.6:0.85,2880x1800:0.85,33790
Intel I3-6200U:0.41,16:0.75,320 SSD:0.87,15.6:0.85,2560x1440:0.71,37815
Intel I7-6200U:0.58,2:0.00,240 SSD:0.62,10:0.00,1920x1080:0.57,28515
Intel I7-5500U:0.29,8:0.50,320 HDD:0.00,17.3:1.00,1920x1080:0.57,32859
Intel I3-7200U:0.76,16:0.75,512 SSD:1.00,12:0.28,2560x1440:0.71,41085
Intel I7-7500U:1.00,16:0.75,1 000 HDD:0.37,11:0.14,1280x800:0.00,29229
Intel I5-7200U:0.82,32:1.00,500 HDD:0.12,13:0.42,1280x800:0.00,29718
Intel I5-6500U:0.52,6:0.37,256 SSD:0.75,14:0.71,2880x1800:0.85,35854
Intel I3-7100U:0.70,6:0.37,256 SSD:0.75,10:0.00,2880x1800:0.85,30948
Intel I5-7200U:0.82,6:0.37,256 SSD:0.75,15.6:0.85,1600x900:0.28,31228
Intel I7-6500U:0.64,4:0.25,240 SSD:0.62,17.3:1.00,2880x1800:0.85,38681
Intel I7-6200U:0.58,4:0.25,320 SSD:0.87,14:0.71,1280x800:0.00,32985
Intel I3-5100U:0.00,4:0.25,1 000 HDD:0.37,10:0.00,1600x900:0.28,25186
Intel I5-7500U:0.88,16:0.75,750 HDD:0.25,15.6:0.85,2880x1800:0.85,38189
Intel I3-5200U:0.05,6:0.37,1 000 HDD:0.37,12:0.28,1680x1050:0.42,24574
Intel I3-6200U:0.41,32:1.00,320 HDD:0.00,14:0.71,1920x1080:0.57,31217
Intel I3-5100U:0.00,8:0.50,320 HDD:0.00,14:0.71,2560x1440:0.71,28952
Intel I5-7200U:0.82,4:0.25,750 HDD:0.25,14:0.71,1600x900:0.28,25865
Intel I5-7200U:0.82,4:0.25,1 000 HDD:0.37,15.6:0.85,1600x900:0.28,28561
Intel I5-7500U:0.88,6:0.37,240 SSD:0.62,13:0.42,1920x1080:0.57,29121
Intel I7-7200U:0.94,24:0.87,750 HDD:0.25,13:0.42,1920x1080:0.57,34266
Intel I3-6100U:0.35,24:0.87,320 SSD:0.87,11:0.14,1600x900:0.28,32049
Intel I5-6500U:0.52,24:0.87,1 000 HDD:0.37,11:0.14,1600x900:0.28,30185
Intel I5-6200U:0.47,32:1.00,512 SSD:1.00,12:0.28,3840x2160:1.00,45326
Intel I5-7200U:0.82,3:0.12,240 SSD:0.62,12:0.28,1280x800:0.00,26178
Intel I5-5200U:0.11,12:0.62,500 HDD:0.12,12:0.28,3840x2160:1.00,31679
Intel I5-7200U:0.82,32:1.00,1 000 HDD:0.37,15.6:0.85,1366x768:0.14,32283
Intel I3-5200U:0.05,8:0.50,1 000 HDD:0.37,15.6:0.85,2560x1440:0.71,29812
Intel I3-5200U:0.05,4:0.25,128 SSD:0.50,10:0.00,1600x900:0.28,25565
Intel I5-5200U:0.11,16:0.75,512 SSD:1.00,12:0.28,1920x1080:0.57,37846
